order_id,order_date,region,carrier,product_category,order_value_eur,delivery_days
ORD-2025650,2024-01-07,West,DPD,Electronics,15.53,2.8
ORD-2025277,2024-01-07,Zentral,GLS,Apparel,31.81,1.0
ORD-2024894,2024-01-07,Nord,Hermes,Home,47.25,4.3
ORD-2028253,2024-01-07,Zentral,UPS,Home,42.72,2.5
ORD-2025859,2024-01-07,West,Hermes,Books,23.27,5.4
ORD-2028945,2024-01-07,Zentral,GLS,Home,41.62,4.8
ORD-2027836,2024-01-07,West,DHL,Electronics,62.12,1.7
ORD-2026966,2024-01-08,Sued,DHL,Apparel,21.47,4.0
ORD-2027977,2024-01-08,Zentral,UPS,Apparel,47.96,2.8
ORD-2027933,2024-01-08,West,DHL,Electronics,15.75,2.4
ORD-2026989,2024-01-08,Sued,DHL,Home,25.07,1.9
ORD-2024687,2024-01-08,West,Hermes,Food,25.9,6.2
ORD-2025250,2024-01-08,Ost,Hermes,Apparel,26.47,2.1
ORD-2025941,2024-01-08,Ost,Hermes,Electronics,6.46,2.6
ORD-2027181,2024-01-08,Ost,DHL,Food,85.67,1.6
ORD-2026044,2024-01-08,Zentral,DHL,Books,65.94,2.5
ORD-2027288,2024-01-08,Zentral,Hermes,Electronics,102.13,3.0
ORD-2025764,2024-01-08,Ost,DHL,Home,60.66,3.1
ORD-2027475,2024-01-08,Sued,UPS,Home,5.0,2.3
ORD-2027980,2024-01-08,West,GLS,Home,42.15,5.1
ORD-2024875,2024-01-08,West,Hermes,Apparel,57.58,6.4
ORD-2026565,2024-01-08,Zentral,UPS,Books,46.62,1.9
ORD-2028935,2024-01-08,Nord,Hermes,Apparel,56.69,1.8
ORD-2028743,2024-01-08,Ost,DPD,Apparel,50.52,2.4
ORD-2024828,2024-01-08,West,DHL,Home,117.53,2.1
ORD-2026543,2024-01-08,Ost,DHL,Electronics,28.23,2.2
ORD-2025319,2024-01-09,Sued,Hermes,Electronics,55.79,5.2
ORD-2028166,2024-01-09,Zentral,Hermes,Books,70.22,4.3
ORD-2026203,2024-01-09,Sued,Hermes,Books,61.37,3.5
ORD-2024097,2024-01-09,Nord,DHL,Electronics,135.23,3.7
ORD-2025597,2024-01-09,Ost,DHL,Food,45.43,2.5
ORD-2025783,2024-01-09,Zentral,DHL,Apparel,17.02,2.3
ORD-2024601,2024-01-09,Nord,Hermes,Apparel,20.46,4.5
ORD-2025843,2024-01-09,Sued,Hermes,Books,45.68,7.0
ORD-2024269,2024-01-09,Zentral,UPS,Apparel,43.83,2.1
ORD-2025567,2024-01-09,West,DPD,Electronics,58.02,1.6
ORD-2027651,2024-01-10,Zentral,DPD,Electronics,17.1,2.9
ORD-2026683,2024-01-10,Sued,DPD,Home,39.26,3.5
ORD-2028168,2024-01-10,West,DPD,Apparel,26.21,3.6
ORD-2024714,2024-01-10,West,DHL,Apparel,26.7,2.7
ORD-2026601,2024-01-10,Nord,DHL,Apparel,35.63,3.3
ORD-2025972,2024-01-10,Ost,Hermes,Books,61.61,2.2
ORD-2025003,2024-01-10,West,GLS,Apparel,33.6,3.1
ORD-2028015,2024-01-10,West,GLS,Home,38.39,1.9
ORD-2024484,2024-01-10,Sued,DHL,Food,40.16,2.3
ORD-2025090,2024-01-10,Zentral,DHL,Apparel,173.9,1.2
ORD-2026205,2024-01-10,Ost,DHL,Apparel,88.94,3.1
ORD-2026524,2024-01-10,Zentral,DHL,Apparel,264.46,1.0
ORD-2028577,2024-01-11,Sued,Hermes,Electronics,56.88,6.4
ORD-2026240,2024-01-11,Nord,DHL,Food,56.73,3.7
ORD-2027725,2024-01-11,Ost,GLS,Books,70.34,1.3
ORD-2025292,2024-01-11,West,Hermes,Apparel,18.04,4.4
ORD-2025801,2024-01-11,Zentral,GLS,Books,12.45,4.8
ORD-2028975,2024-01-11,Sued,Hermes,Apparel,22.12,5.2
ORD-2025379,2024-01-11,Sued,DPD,Home,40.66,2.1
ORD-2027942,2024-01-11,West,DHL,Apparel,271.06,1.7
ORD-2025538,2024-01-11,Ost,DPD,Home,107.63,3.8
ORD-2025122,2024-01-11,Zentral,UPS,Home,48.78,2.3
ORD-2026600,2024-01-11,Nord,Hermes,Electronics,65.81,2.9
ORD-2025700,2024-01-12,Ost,GLS,Electronics,25.92,1.1
ORD-2026412,2024-01-12,Sued,DHL,Apparel,92.94,1.2
ORD-2028263,2024-01-12,Nord,Hermes,Home,13.84,6.7
ORD-2024681,2024-01-12,Zentral,DHL,Electronics,31.53,2.1
ORD-2027840,2024-01-12,Nord,UPS,Apparel,99.41,1.4
ORD-2024518,2024-01-12,Zentral,DHL,Home,5.0,2.8
ORD-2026368,2024-01-12,Nord,GLS,Apparel,48.75,3.8
ORD-2026133,2024-01-12,Zentral,DHL,Electronics,75.88,2.7
ORD-2024851,2024-01-12,West,GLS,Books,93.31,2.2
ORD-2026999,2024-01-12,Nord,DHL,Electronics,154.13,1.3
ORD-2027498,2024-01-12,West,DPD,Apparel,205.85,3.8
ORD-2026695,2024-01-12,Sued,Hermes,Books,148.39,6.4
ORD-2025667,2024-01-12,Zentral,DHL,Home,11.97,3.0
ORD-2025870,2024-01-12,Sued,UPS,Food,49.85,1.9
ORD-2026020,2024-01-12,Zentral,DPD,Apparel,53.8,1.9
ORD-2025433,2024-01-12,West,DHL,Apparel,35.28,4.0
ORD-2026318,2024-01-12,Zentral,DPD,Electronics,12.54,1.5
ORD-2025872,2024-01-12,Zentral,DHL,Books,41.58,1.7
ORD-2025754,2024-01-12,Nord,DPD,Home,102.18,1.1
ORD-2025423,2024-01-12,West,DPD,Books,31.8,4.4
ORD-2027667,2024-01-12,Nord,GLS,Books,50.1,2.8
ORD-2026484,2024-01-13,Ost,DHL,Food,43.84,2.1
ORD-2025670,2024-01-13,Zentral,DHL,Apparel,56.8,1.9
ORD-2024378,2024-01-13,Nord,GLS,Home,141.06,3.7
ORD-2027542,2024-01-13,West,DHL,Electronics,95.37,2.0
ORD-2024554,2024-01-13,Zentral,DHL,Electronics,190.3,2.2
ORD-2027621,2024-01-13,Zentral,DHL,Apparel,29.47,1.8
ORD-2024151,2024-01-13,West,Hermes,Electronics,57.1,2.1
ORD-2025007,2024-01-13,Ost,DHL,Home,57.44,1.8
ORD-2027721,2024-01-13,West,Hermes,Books,29.78,3.3
ORD-2028238,2024-01-13,Sued,DHL,Apparel,35.43,1.0
ORD-2024916,2024-01-13,Ost,Hermes,Food,5.0,3.9
ORD-2027793,2024-01-13,West,DHL,Apparel,32.11,2.4
ORD-2027781,2024-01-13,Zentral,DHL,Books,53.38,2.6
ORD-2027748,2024-01-13,Nord,DHL,Apparel,13.67,1.7
ORD-2028923,2024-01-13,Sued,DHL,Home,45.76,1.4
ORD-2026689,2024-01-13,Sued,UPS,Apparel,60.04,2.3
ORD-2024050,2024-01-14,Ost,Hermes,Apparel,77.34,3.9
ORD-2026730,2024-01-14,Zentral,DPD,Electronics,9.85,3.2
ORD-2025869,2024-01-14,Sued,DHL,Electronics,52.66,1.5
ORD-2024885,2024-01-14,Nord,Hermes,Electronics,83.55,1.0
ORD-2026382,2024-01-14,Zentral,DHL,Apparel,40.42,2.8
ORD-2027656,2024-01-14,West,Hermes,Electronics,67.15,7.4
ORD-2024891,2024-01-14,Sued,GLS,Books,234.59,2.2
ORD-2025946,2024-01-14,Zentral,DHL,Home,16.08,2.6
ORD-2028290,2024-01-14,Ost,UPS,Electronics,36.44,2.3
ORD-2025472,2024-01-14,West,DHL,Apparel,97.27,2.2
ORD-2026470,2024-01-14,Nord,DHL,Food,52.65,2.3
ORD-2025057,2024-01-14,Sued,DHL,Food,68.78,3.0
ORD-2025318,2024-01-14,West,DHL,Books,14.03,1.4
ORD-2028880,2024-01-14,Nord,UPS,Books,69.46,1.3
ORD-2024675,2024-01-14,Nord,Hermes,Electronics,47.37,3.8
ORD-2026697,2024-01-14,Zentral,DPD,Electronics,191.59,2.4
ORD-2025955,2024-01-14,Zentral,DHL,Home,28.54,3.5
ORD-2025748,2024-01-15,Nord,UPS,Food,166.54,2.2
ORD-2024903,2024-01-15,West,DHL,Apparel,49.04,3.6
ORD-2027915,2024-01-15,Nord,DHL,Apparel,55.03,1.6
ORD-2025775,2024-01-15,Zentral,DHL,Electronics,43.42,2.1
ORD-2025103,2024-01-15,West,DHL,Apparel,104.63,2.9
ORD-2025077,2024-01-15,Nord,DHL,Books,79.68,2.1
ORD-2025485,2024-01-15,Zentral,DHL,Home,158.96,1.9
ORD-2027188,2024-01-15,Zentral,Hermes,Home,45.68,1.0
ORD-2024092,2024-01-15,Nord,DHL,Apparel,69.69,2.1
ORD-2024134,2024-01-15,Nord,DHL,Food,44.76,2.5
ORD-2024497,2024-01-16,Sued,DPD,Books,22.05,3.6
ORD-2027001,2024-01-16,Sued,GLS,Home,45.13,1.0
ORD-2025490,2024-01-16,Zentral,DPD,Electronics,20.76,3.8
ORD-2027612,2024-01-16,West,DHL,Books,43.38,2.2
ORD-2027161,2024-01-16,West,DHL,Home,21.89,2.4
ORD-2028742,2024-01-16,Ost,Hermes,Electronics,82.63,4.2
ORD-2028152,2024-01-16,West,DPD,Electronics,25.28,5.4
ORD-2025454,2024-01-16,West,DHL,Home,18.28,1.1
ORD-2027753,2024-01-16,Sued,DHL,Apparel,74.17,3.1
ORD-2027841,2024-01-16,Nord,DPD,Books,88.97,2.6
ORD-2028423,2024-01-16,Zentral,GLS,Food,96.78,4.1
ORD-2026550,2024-01-17,Sued,DPD,Books,22.1,3.5
ORD-2025183,2024-01-17,Zentral,DHL,Food,40.07,2.0
ORD-2026516,2024-01-17,Ost,DHL,Books,134.85,2.7
ORD-2025344,2024-01-17,Sued,DPD,Home,61.54,5.3
ORD-2025699,2024-01-17,Ost,Hermes,Apparel,106.96,4.2
ORD-2026902,2024-01-17,West,Hermes,Home,51.16,5.4
ORD-2024329,2024-01-17,Sued,DPD,Food,39.14,2.1
ORD-2028306,2024-01-17,West,GLS,Books,31.83,4.6
ORD-2028624,2024-01-17,Ost,UPS,Apparel,34.13,1.5
ORD-2027260,2024-01-17,Ost,Hermes,Apparel,69.93,5.1
ORD-2027500,2024-01-17,Ost,GLS,Apparel,392.1,3.7
ORD-2028038,2024-01-17,Nord,DHL,Home,36.81,2.3
ORD-2025428,2024-01-17,Sued,Hermes,Food,17.21,1.7
ORD-2027804,2024-01-17,West,GLS,Electronics,93.18,3.8
ORD-2027879,2024-01-17,Zentral,UPS,Apparel,35.55,2.3
ORD-2025408,2024-01-17,Zentral,DHL,Electronics,14.32,3.2
ORD-2025675,2024-01-17,Sued,DPD,Electronics,163.89,2.7
ORD-2028610,2024-01-17,Zentral,DHL,Electronics,340.33,1.8
ORD-2028562,2024-01-18,Nord,DHL,Electronics,51.95,1.3
ORD-2025227,2024-01-18,Zentral,DHL,Food,68.65,2.4
ORD-2025935,2024-01-18,Sued,Hermes,Books,278.99,4.5
ORD-2026623,2024-01-18,West,DHL,Electronics,57.64,3.2
ORD-2024352,2024-01-18,Zentral,DPD,Home,132.92,1.4
ORD-2028469,2024-01-18,Zentral,DHL,Home,56.38,2.1
ORD-2027278,2024-01-19,Nord,DHL,Food,108.12,2.7
ORD-2026219,2024-01-19,West,DPD,Apparel,21.5,3.0
ORD-2028279,2024-01-19,Ost,DHL,Apparel,14.45,3.5
ORD-2025226,2024-01-19,Ost,UPS,Home,18.73,1.9
ORD-2027568,2024-01-19,Zentral,UPS,Home,93.03,2.7
ORD-2024636,2024-01-19,Nord,DHL,Books,61.97,3.5
ORD-2026756,2024-01-19,Nord,Hermes,Apparel,81.69,4.7
ORD-2024566,2024-01-19,West,Hermes,Home,104.49,4.6
ORD-2028592,2024-01-19,Nord,DHL,Home,28.98,4.4
ORD-2027961,2024-01-19,Nord,UPS,Apparel,41.13,2.4
ORD-2026660,2024-01-19,West,DHL,Food,120.27,2.3
ORD-2026097,2024-01-19,West,DPD,Apparel,33.44,16.7
ORD-2028856,2024-01-19,West,DHL,Electronics,64.46,3.1
ORD-2026259,2024-01-19,Zentral,DHL,Books,48.47,3.6
ORD-2024671,2024-01-20,Ost,DHL,Home,10.67,2.9
ORD-2028915,2024-01-20,West,DHL,Apparel,28.99,3.0
ORD-2024987,2024-01-20,West,DPD,Food,32.39,1.6
ORD-2025914,2024-01-20,Ost,Hermes,Apparel,98.27,5.9
ORD-2026420,2024-01-20,Nord,GLS,Electronics,17.17,1.7
ORD-2026724,2024-01-20,Zentral,GLS,Electronics,16.85,4.5
ORD-2026007,2024-01-20,West,DPD,Apparel,124.99,3.7
ORD-2026699,2024-01-20,Nord,DPD,Apparel,70.31,4.3
ORD-2028334,2024-01-20,Sued,Hermes,Apparel,25.3,2.6
ORD-2028680,2024-01-20,Sued,DHL,Home,244.29,2.0
ORD-2025296,2024-01-20,West,DHL,Apparel,35.06,1.0
ORD-2026711,2024-01-20,West,GLS,Apparel,14.14,4.4
ORD-2025569,2024-01-20,Sued,DHL,Home,226.2,2.6
ORD-2026933,2024-01-20,Nord,DPD,Electronics,62.78,2.5
ORD-2027496,2024-01-20,West,Hermes,Apparel,152.67,5.9
ORD-2024383,2024-01-20,Sued,GLS,Books,89.32,2.8
ORD-2025740,2024-01-21,Ost,UPS,Apparel,27.42,1.6
ORD-2027452,2024-01-21,Ost,DHL,Apparel,78.11,2.0
ORD-2027082,2024-01-21,Sued,DHL,Electronics,78.98,1.6
ORD-2026859,2024-01-21,West,DPD,Electronics,102.41,5.6
ORD-2027777,2024-01-21,Ost,DPD,Home,44.07,3.6
ORD-2024006,2024-01-21,Sued,Hermes,Apparel,133.9,6.0
ORD-2026511,2024-01-21,West,DPD,Home,45.98,3.6
ORD-2026876,2024-01-21,Nord,DHL,Apparel,54.4,3.3
ORD-2026145,2024-01-21,Nord,DHL,Apparel,26.08,2.9
ORD-2024044,2024-01-21,West,DHL,Food,129.36,2.7
ORD-2025937,2024-01-21,Sued,GLS,Books,76.74,3.4
ORD-2027730,2024-01-21,Zentral,GLS,Food,101.75,4.0
ORD-2027005,2024-01-21,West,DPD,Books,63.35,2.1
ORD-2027639,2024-01-21,West,UPS,Electronics,111.39,2.3
ORD-2028498,2024-01-21,Sued,Hermes,Home,18.96,4.0
ORD-2027195,2024-01-21,Zentral,DHL,Home,42.8,2.4
ORD-2026911,2024-01-22,Ost,GLS,Food,79.01,1.5
ORD-2028153,2024-01-22,Sued,DHL,Books,37.27,4.2
ORD-2027547,2024-01-22,West,DPD,Home,38.0,2.3
ORD-2026640,2024-01-22,Ost,UPS,Food,95.51,2.7
ORD-2024846,2024-01-22,Nord,DHL,Food,20.53,2.8
ORD-2024307,2024-01-22,Nord,GLS,Apparel,49.25,3.4
ORD-2025863,2024-01-22,Ost,DPD,Books,50.23,2.7
ORD-2025734,2024-01-22,Zentral,DHL,Apparel,17.92,2.9
ORD-2028792,2024-01-22,Nord,Hermes,Home,355.22,3.2
ORD-2028662,2024-01-22,West,UPS,Books,59.79,2.7
ORD-2028250,2024-01-22,Zentral,Hermes,Apparel,32.04,3.2
ORD-2024025,2024-01-22,Ost,GLS,Apparel,24.05,2.3
ORD-2027660,2024-01-22,Zentral,DHL,Electronics,32.48,3.5
ORD-2028328,2024-01-22,Nord,Hermes,Apparel,54.49,4.7
ORD-2025702,2024-01-22,West,GLS,Apparel,49.47,2.3
ORD-2026661,2024-01-23,Nord,DHL,Home,98.05,3.4
ORD-2028512,2024-01-23,West,DHL,Books,12.27,3.7
ORD-2024747,2024-01-23,West,UPS,Home,82.78,2.7
ORD-2025062,2024-01-23,West,Hermes,Food,19.87,3.5
ORD-2027718,2024-01-23,Sued,GLS,Apparel,94.77,1.8
ORD-2027368,2024-01-23,Nord,DPD,Apparel,185.47,1.0
ORD-2025657,2024-01-23,West,DHL,Electronics,56.63,2.9
ORD-2024482,2024-01-23,Zentral,DHL,Food,70.9,2.8
ORD-2027595,2024-01-23,Zentral,Hermes,Books,36.47,4.9
ORD-2027648,2024-01-23,West,Hermes,Apparel,85.6,4.7
ORD-2025129,2024-01-23,Zentral,DHL,Home,78.95,3.9
ORD-2027807,2024-01-24,Sued,DHL,Home,90.19,2.1
ORD-2026712,2024-01-24,Nord,Hermes,Apparel,8.38,2.4
ORD-2028103,2024-01-24,West,GLS,Electronics,69.49,3.2
ORD-2025772,2024-01-24,Ost,UPS,Home,10.74,1.7
ORD-2028102,2024-01-24,Sued,DPD,Electronics,62.63,1.2
ORD-2025909,2024-01-24,Zentral,UPS,Home,54.96,2.9
ORD-2026738,2024-01-24,Nord,Hermes,Food,147.72,5.3
ORD-2027723,2024-01-24,Nord,Hermes,Food,60.17,6.8
ORD-2025190,2024-01-25,Sued,DHL,Food,35.38,2.3
ORD-2026408,2024-01-25,Nord,DHL,Home,344.08,11.3
ORD-2025414,2024-01-25,Zentral,Hermes,Apparel,42.02,3.3
ORD-2026405,2024-01-25,Sued,DHL,Food,68.61,3.8
ORD-2027017,2024-01-25,Ost,DPD,Apparel,15.18,1.9
ORD-2025873,2024-01-25,Ost,Hermes,Apparel,77.51,4.5
ORD-2028634,2024-01-25,Ost,Hermes,Electronics,26.42,1.0
ORD-2027885,2024-01-25,West,DHL,Home,17.48,2.5
ORD-2026392,2024-01-25,West,GLS,Electronics,59.98,1.0
ORD-2028626,2024-01-25,Zentral,Hermes,Home,16.96,2.6
ORD-2028368,2024-01-25,Sued,DHL,Food,37.79,2.5
ORD-2025599,2024-01-25,Nord,Hermes,Electronics,6.33,6.8
ORD-2025177,2024-01-25,Ost,GLS,Electronics,92.74,2.8
ORD-2025444,2024-01-25,Nord,UPS,Home,12.69,3.9
ORD-2024580,2024-01-25,West,DHL,Apparel,63.21,2.7
ORD-2028145,2024-01-25,Nord,DHL,Apparel,24.29,2.6
ORD-2027578,2024-01-25,Ost,DHL,Apparel,94.89,2.6
ORD-2024914,2024-01-25,Sued,DHL,Home,5.0,1.5
ORD-2028852,2024-01-25,Zentral,DPD,Home,66.01,4.0
ORD-2024918,2024-01-25,Zentral,DHL,Apparel,49.12,3.1
ORD-2024977,2024-01-26,Ost,Hermes,Books,27.21,4.2
ORD-2024872,2024-01-26,Zentral,DHL,Electronics,33.73,1.7
ORD-2026061,2024-01-26,Ost,DPD,Apparel,60.42,2.4
ORD-2024375,2024-01-26,Sued,UPS,Apparel,41.75,3.4
ORD-2028929,2024-01-26,Zentral,DPD,Electronics,71.73,3.0
ORD-2025720,2024-01-26,Zentral,UPS,Home,55.33,2.0
ORD-2026202,2024-01-26,West,GLS,Apparel,39.39,4.3
ORD-2025450,2024-01-26,West,GLS,Books,88.94,4.2
ORD-2027191,2024-01-26,Nord,DHL,Books,61.8,3.5
ORD-2027884,2024-01-26,Nord,GLS,Home,12.72,2.3
ORD-2026948,2024-01-26,West,Hermes,Electronics,62.34,7.0
ORD-2027629,2024-01-27,West,DHL,Food,24.03,1.5
ORD-2028818,2024-01-27,Zentral,GLS,Books,70.56,2.8
ORD-2026282,2024-01-27,Nord,GLS,Home,26.63,1.6
ORD-2026163,2024-01-27,Ost,Hermes,Home,141.72,13.2
ORD-2025758,2024-01-27,Nord,DHL,Home,100.99,3.0
ORD-2024316,2024-01-27,Ost,UPS,Electronics,81.71,1.2
ORD-2025766,2024-01-27,West,UPS,Food,145.93,2.4
ORD-2025352,2024-01-27,Sued,GLS,Apparel,128.03,3.9
ORD-2025735,2024-01-27,Sued,Hermes,Electronics,28.92,7.1
ORD-2027204,2024-01-28,Sued,DPD,Books,60.9,3.1
ORD-2026897,2024-01-28,Zentral,DPD,Home,28.92,3.1
ORD-2027325,2024-01-28,West,DPD,Apparel,21.13,1.7
ORD-2025963,2024-01-28,Zentral,Hermes,Electronics,78.79,6.2
ORD-2024906,2024-01-28,Zentral,DHL,Apparel,12.11,1.8
ORD-2027739,2024-01-28,Nord,DPD,Apparel,24.61,3.9
ORD-2027770,2024-01-28,Nord,UPS,Books,35.47,3.6
ORD-2027773,2024-01-28,Sued,UPS,Books,82.39,1.1
ORD-2027876,2024-01-28,Ost,DPD,Apparel,33.96,3.4
ORD-2024886,2024-01-28,Nord,UPS,Food,146.45,2.1
ORD-2024696,2024-01-28,West,Hermes,Electronics,124.26,5.1
ORD-2026559,2024-01-28,West,DHL,Apparel,50.39,2.9
ORD-2028868,2024-01-28,West,DHL,Food,29.73,3.3
ORD-2028788,2024-01-28,Sued,Hermes,Books,105.66,5.5
ORD-2024109,2024-01-28,Ost,DHL,Home,14.82,2.8
ORD-2024164,2024-01-28,Zentral,Hermes,Apparel,27.56,3.5
ORD-2028576,2024-01-28,Ost,DHL,Apparel,76.19,2.5
ORD-2025715,2024-01-29,Ost,DHL,Apparel,110.77,3.7
ORD-2027808,2024-01-29,West,DHL,Books,26.73,2.0
ORD-2025152,2024-01-29,Nord,DHL,Apparel,38.41,1.0
ORD-2028855,2024-01-29,Nord,DHL,Books,173.43,1.7
ORD-2028295,2024-01-29,Nord,DHL,Home,96.59,2.3
ORD-2026522,2024-01-29,Ost,Hermes,Apparel,21.67,3.4
ORD-2028936,2024-01-29,Sued,DHL,Apparel,23.36,3.1
ORD-2025375,2024-01-29,Ost,DHL,Electronics,109.46,1.0
ORD-2025591,2024-01-29,West,GLS,Apparel,15.0,1.0
ORD-2026645,2024-01-29,Sued,DHL,Electronics,17.48,2.9
ORD-2028724,2024-01-29,West,DHL,Books,199.71,2.8
ORD-2024614,2024-01-29,West,DHL,Electronics,19.74,2.7
