product_id,category,weight_kg,volume_l,price_eur,margin_pct,monthly_sales,return_rate_pct,shipping_cost_eur,rating,restock_days
P-EL0089,Electronics,1.47,4.33,172.7,4.0,214.0,10.2,4.74,3.83,12.0
P-EL0056,Electronics,1.06,1.98,214.19,6.7,206.0,4.0,3.24,3.6,23.0
P-BO0014,Books,0.47,0.85,20.77,23.7,655.0,3.2,3.68,3.54,8.0
P-EL0002,Electronics,1.68,2.72,186.64,10.1,212.0,4.1,5.56,3.55,23.0
P-EL0058,Electronics,0.81,1.26,170.62,4.0,192.0,2.8,4.22,4.33,11.0
P-HO0013,Home,6.48,4.86,69.72,13.3,611.0,5.1,8.72,4.36,13.0
P-HO0022,Home,11.26,11.39,73.73,9.0,326.0,7.6,17.41,3.85,19.0
P-FO0047,Food,1.51,3.56,35.9,8.6,389.0,2.7,5.15,3.03,3.0
P-HO0000,Home,6.38,9.73,58.42,14.6,303.0,3.9,11.04,4.27,12.0
P-EL0074,Electronics,1.28,1.57,337.75,5.3,118.0,6.5,4.49,3.98,11.0
P-BO0019,Books,0.31,0.71,25.93,10.3,353.0,3.2,3.27,4.59,8.0
P-HO0048,Home,5.47,7.58,72.92,10.8,313.0,8.4,10.31,3.15,15.0
P-FO0009,Food,1.77,2.93,14.1,16.1,1001.0,1.0,4.58,3.01,2.0
P-AP0020,Apparel,0.35,0.69,53.88,13.9,294.0,20.2,1.87,3.96,13.0
P-EL0080,Electronics,1.47,3.93,218.11,6.1,151.0,0.0,5.47,4.08,22.0
P-HO0035,Home,6.76,19.7,93.99,9.3,186.0,5.2,14.51,4.47,18.0
P-EL0026,Electronics,1.52,4.26,492.72,4.0,90.0,9.8,4.77,4.03,21.0
P-AP0068,Apparel,0.61,1.68,38.17,18.7,712.0,10.3,3.85,4.02,8.0
P-FO0051,Food,2.02,3.01,8.92,34.4,711.0,2.2,4.77,3.54,3.0
P-HO0038,Home,12.64,18.57,47.04,16.2,302.0,7.4,20.77,4.23,16.0
P-BO0042,Books,0.34,0.74,18.18,17.0,571.0,2.3,3.95,4.08,7.0
P-BO0059,Books,0.74,1.02,39.28,14.7,356.0,1.6,3.34,4.42,6.0
P-AP0009,Apparel,0.25,0.5,62.98,14.3,310.0,26.2,2.69,3.4,10.0
P-EL0050,Electronics,1.37,2.35,155.35,9.2,176.0,7.0,5.54,3.97,19.0
P-FO0052,Food,2.64,4.51,6.98,26.1,881.0,1.3,6.49,4.11,2.0
P-HO0089,Home,8.3,9.93,84.4,13.6,166.0,4.9,13.14,4.28,7.0
P-EL0014,Electronics,1.48,2.72,157.89,10.9,165.0,8.1,3.92,3.84,18.0
P-BO0062,Books,0.39,0.56,20.33,29.8,725.0,2.4,2.9,3.46,5.0
P-AP0014,Apparel,0.62,0.82,46.87,4.3,505.0,33.2,1.87,3.13,7.0
P-BO0068,Books,0.73,1.33,40.57,24.1,324.0,1.6,3.53,4.71,8.0
P-EL0003,Electronics,1.83,4.11,232.88,4.0,115.0,2.1,4.85,4.03,23.0
P-HO0004,Home,6.78,14.69,39.91,14.8,658.0,5.8,12.83,4.53,18.0
P-EL0059,Electronics,1.86,2.34,103.86,9.6,248.0,3.7,4.46,4.23,24.0
P-HO0071,Home,5.05,8.29,39.87,11.6,308.0,4.5,9.34,4.3,19.0
P-AP0059,Apparel,0.48,0.99,25.52,16.6,503.0,24.9,2.88,3.66,10.0
P-FO0006,Food,0.86,1.46,8.6,18.7,663.0,0.0,3.49,4.22,3.0
P-EL0098,Electronics,1.44,2.58,89.15,13.2,139.0,6.6,3.76,4.43,24.0
P-AP0046,Apparel,0.47,0.71,54.37,12.4,428.0,41.1,1.62,3.22,9.0
P-EL0040,Electronics,1.68,3.42,126.75,4.0,202.0,1.6,3.86,4.52,31.0
P-AP0065,Apparel,0.22,0.38,31.89,16.8,571.0,22.3,2.08,3.34,10.0
P-EL0041,Electronics,1.53,2.05,173.34,8.3,189.0,3.9,4.79,4.56,21.0
P-BO0040,Books,0.34,0.58,34.72,21.8,451.0,3.3,2.47,4.93,7.0
P-AP0087,Apparel,0.46,0.53,52.08,14.2,267.0,10.7,3.46,4.0,6.0
P-BO0026,Books,0.33,1.04,24.8,21.7,547.0,0.9,3.27,4.25,8.0
P-BO0033,Books,0.41,0.54,27.47,19.6,429.0,3.0,2.48,4.09,8.0
P-HO0098,Home,5.31,8.15,33.96,16.0,408.0,3.6,9.45,3.17,15.0
P-EL0079,Electronics,1.04,2.05,199.95,4.4,372.0,6.9,3.74,3.37,21.0
P-AP0064,Apparel,0.39,0.58,30.34,17.3,448.0,30.1,2.1,4.03,7.0
P-EL0028,Electronics,1.44,2.15,127.95,4.2,132.0,6.7,3.52,3.45,27.0
P-AP0045,Apparel,0.34,0.47,59.31,13.8,814.0,24.4,2.51,3.64,8.0
P-BO0064,Books,0.39,0.51,18.21,19.4,494.0,1.4,3.07,4.29,9.0
P-HO0037,Home,5.79,7.35,104.28,13.5,242.0,6.9,10.17,3.23,13.0
P-HO0077,Home,14.67,28.18,71.52,14.4,625.0,3.4,25.42,3.6,16.0
P-EL0057,Electronics,2.35,5.68,154.86,8.8,137.0,3.3,6.43,4.42,23.0
P-FO0053,Food,2.49,5.62,10.44,22.3,590.0,0.3,5.12,3.44,3.0
P-EL0062,Electronics,1.29,4.4,197.52,10.3,87.0,6.1,4.27,4.31,21.0
P-AP0011,Apparel,0.48,1.33,40.37,13.9,594.0,40.3,3.48,3.18,4.0
P-EL0084,Electronics,0.7,1.43,115.44,4.0,227.0,7.9,3.03,3.95,15.0
P-FO0084,Food,1.12,3.49,8.87,21.7,1055.0,1.0,4.14,4.41,3.0
P-BO0072,Books,0.45,0.58,17.78,14.4,877.0,1.8,1.77,4.56,8.0
P-AP0047,Apparel,0.11,0.23,38.59,8.9,355.0,34.4,1.81,3.94,11.0
P-BO0044,Books,0.79,1.17,17.07,21.8,549.0,2.6,2.29,4.55,7.0
P-AP0029,Apparel,0.41,1.02,19.45,22.5,785.0,28.1,3.36,4.02,10.0
P-FO0031,Food,3.08,6.83,28.28,21.0,449.0,0.3,7.85,3.56,2.0
P-EL0096,Electronics,0.66,1.44,202.62,9.2,78.0,4.6,1.68,4.46,17.0
P-FO0068,Food,0.82,1.96,13.61,19.9,650.0,0.9,4.44,4.02,5.0
P-HO0068,Home,5.5,8.7,86.55,8.3,149.0,3.0,10.66,3.23,14.0
P-AP0041,Apparel,0.6,1.44,17.79,16.7,724.0,25.0,3.83,3.83,14.0
P-FO0050,Food,3.42,5.66,15.2,18.8,890.0,0.7,7.08,4.0,2.0
P-BO0024,Books,0.38,0.69,13.73,21.6,729.0,2.3,3.43,5.0,5.0
P-BO0000,Books,0.74,1.22,14.39,27.0,464.0,1.3,3.68,4.25,7.0
P-HO0092,Home,3.9,7.52,73.79,8.2,482.0,1.3,8.88,4.29,14.0
P-HO0083,Home,6.8,11.35,74.58,8.1,346.0,3.8,12.27,4.18,12.0
P-FO0074,Food,0.98,2.44,7.2,23.5,498.0,0.1,4.21,4.49,2.0
P-HO0032,Home,3.93,5.46,91.13,9.4,175.0,5.6,6.94,4.1,14.0
P-HO0046,Home,6.6,9.47,91.17,7.2,158.0,4.6,11.19,3.87,20.0
P-EL0081,Electronics,0.89,1.71,89.58,16.3,459.0,3.0,4.04,4.0,26.0
P-BO0095,Books,0.68,0.85,13.25,18.0,979.0,2.7,3.53,4.03,11.0
P-BO0010,Books,0.49,0.73,14.83,31.3,713.0,2.0,2.54,3.07,8.0
P-FO0092,Food,0.75,1.21,4.71,27.5,616.0,1.5,2.69,3.59,2.0
P-FO0021,Food,1.36,3.01,19.64,18.9,685.0,1.6,4.85,4.11,4.0
P-BO0036,Books,0.33,0.69,8.88,25.5,1147.0,3.3,2.56,3.74,9.0
P-AP0073,Apparel,0.53,0.59,30.19,19.0,292.0,3.5,2.87,4.23,14.0
P-BO0001,Books,0.3,0.73,10.26,26.8,597.0,3.4,4.17,4.4,9.0
P-EL0053,Electronics,1.04,1.62,121.29,12.5,462.0,11.3,2.93,4.8,21.0
P-FO0008,Food,2.56,4.42,11.53,19.2,521.0,2.2,6.84,4.21,3.0
P-AP0039,Apparel,0.59,1.3,45.07,21.4,393.0,31.2,4.25,3.38,10.0
P-HO0063,Home,10.31,17.28,81.48,14.1,277.0,6.1,16.69,4.74,9.0
P-HO0074,Home,4.03,4.85,71.6,13.7,337.0,4.2,6.88,3.98,13.0
P-EL0066,Electronics,1.03,2.44,191.55,4.0,140.0,5.6,2.85,4.03,14.0
P-FO0094,Food,3.21,3.71,15.42,24.0,788.0,2.1,6.43,3.54,3.0
P-HO0053,Home,8.8,13.01,219.53,4.0,60.0,5.4,14.09,3.05,11.0
P-HO0084,Home,2.63,3.74,105.37,4.0,291.0,6.5,5.81,4.18,9.0
P-BO0058,Books,0.7,1.14,19.38,17.5,364.0,0.9,2.52,3.98,8.0
P-EL0099,Electronics,0.8,1.37,205.23,4.0,87.0,1.4,3.26,4.09,13.0
P-BO0016,Books,0.53,0.61,33.81,14.4,386.0,0.4,2.77,4.14,8.0
P-AP0048,Apparel,0.48,0.64,67.65,12.0,461.0,19.5,3.24,3.63,9.0
P-EL0015,Electronics,0.82,1.25,268.82,4.0,125.0,6.9,2.47,3.41,23.0
P-AP0063,Apparel,0.38,0.96,24.62,17.0,753.0,25.8,2.08,4.39,7.0
P-FO0063,Food,2.07,4.46,23.15,17.3,458.0,0.0,6.23,3.83,3.0
P-EL0046,Electronics,1.78,2.66,116.08,7.1,335.0,6.5,5.16,4.78,38.0
P-EL0086,Electronics,0.97,1.85,200.03,8.0,114.0,2.9,4.27,4.06,28.0
P-EL0037,Electronics,0.82,1.9,168.66,8.5,119.0,9.0,2.83,4.28,28.0
P-FO0010,Food,2.41,4.99,13.36,27.9,766.0,1.5,6.14,4.22,4.0
P-BO0080,Books,0.98,1.94,17.37,19.0,444.0,4.1,3.92,3.79,8.0
P-AP0093,Apparel,0.72,1.37,60.75,4.8,420.0,13.2,2.82,3.6,9.0
P-AP0072,Apparel,0.44,0.74,42.94,13.9,500.0,21.9,3.1,3.72,7.0
P-EL0073,Electronics,1.5,1.87,415.81,5.2,84.0,3.7,3.28,4.63,21.0
P-HO0070,Home,9.62,16.14,61.05,9.9,412.0,2.5,16.19,5.0,16.0
P-AP0004,Apparel,0.3,0.54,29.01,15.2,478.0,17.2,2.51,3.61,11.0
P-HO0006,Home,8.06,14.64,67.41,18.3,286.0,9.4,14.78,4.6,11.0
P-HO0096,Home,3.23,6.38,99.17,9.7,636.0,4.0,7.26,4.58,16.0
P-EL0016,Electronics,1.42,2.73,223.23,5.8,200.0,7.7,4.93,3.24,19.0
P-BO0006,Books,0.6,1.81,28.43,10.0,686.0,2.6,3.71,4.37,7.0
P-FO0061,Food,2.16,4.88,15.97,26.7,933.0,0.0,6.63,4.25,3.0
P-EL0088,Electronics,1.49,1.78,160.15,8.6,134.0,6.6,3.84,3.48,8.0
P-BO0075,Books,1.64,1.5,20.44,16.5,322.0,0.6,3.77,4.36,4.0
P-AP0040,Apparel,0.44,0.59,89.49,16.1,210.0,16.6,2.62,3.11,9.0
P-AP0094,Apparel,0.38,0.56,97.53,11.5,136.0,19.1,3.0,3.16,5.0
P-AP0002,Apparel,0.37,0.59,57.17,15.4,459.0,20.3,3.67,4.26,10.0
P-BO0084,Books,0.59,1.07,10.61,21.9,906.0,1.1,3.06,4.47,8.0
P-AP0074,Apparel,0.26,0.35,43.5,12.9,427.0,20.4,1.53,3.59,13.0
P-AP0070,Apparel,0.35,0.6,28.42,24.1,310.0,22.9,2.74,3.6,9.0
P-HO0039,Home,4.33,6.13,78.75,16.8,272.0,6.9,8.16,4.25,12.0
P-AP0057,Apparel,1.1,2.23,81.11,11.5,249.0,22.7,4.51,2.85,16.0
P-EL0070,Electronics,0.68,1.0,134.87,8.6,233.0,2.2,3.71,4.83,22.0
P-AP0033,Apparel,0.84,1.75,78.21,12.2,335.0,8.6,2.75,3.92,6.0
P-FO0059,Food,1.8,1.9,14.05,18.8,643.0,1.4,4.23,4.95,3.0
P-FO0093,Food,0.99,2.22,7.86,22.9,497.0,0.1,4.77,3.68,2.0
P-BO0067,Books,1.1,3.13,13.7,24.0,540.0,2.0,4.09,3.21,5.0
P-HO0016,Home,8.76,13.11,69.22,12.8,331.0,4.4,14.16,4.02,14.0
P-HO0027,Home,13.11,17.39,24.72,16.7,681.0,8.3,19.68,3.77,19.0
P-BO0028,Books,1.15,1.25,10.49,20.5,553.0,2.7,3.2,4.89,4.0
P-BO0087,Books,0.49,0.92,33.95,13.2,378.0,3.3,2.61,4.15,7.0
P-BO0041,Books,0.67,1.67,29.86,17.1,1489.0,1.0,3.92,4.1,8.0
P-BO0057,Books,0.58,1.09,18.84,18.5,558.0,4.0,2.74,3.6,8.0
P-EL0018,Electronics,1.78,5.19,169.21,11.2,168.0,8.3,5.19,3.78,22.0
P-AP0077,Apparel,0.33,1.39,47.76,21.3,436.0,10.1,3.71,4.06,11.0
P-BO0082,Books,0.63,1.41,16.65,22.0,495.0,1.3,4.57,4.51,7.0
P-EL0020,Electronics,1.1,1.46,164.58,10.5,182.0,3.5,3.4,3.99,18.0
P-EL0055,Electronics,0.9,2.75,245.65,5.9,133.0,5.2,4.2,4.51,21.0
P-HO0080,Home,9.01,17.06,82.38,20.0,453.0,4.4,17.55,3.57,18.0
P-FO0025,Food,4.47,12.2,10.83,27.3,505.0,0.9,10.79,3.88,4.0
P-FO0026,Food,1.84,3.54,16.89,24.2,505.0,1.9,5.37,4.53,3.0
P-EL0034,Electronics,1.58,1.83,134.47,8.7,286.0,1.9,4.05,4.19,17.0
P-AP0081,Apparel,0.2,0.35,63.34,4.4,128.0,26.6,2.39,3.11,10.0
P-AP0084,Apparel,0.47,0.88,44.81,15.4,230.0,28.4,2.85,3.24,12.0
P-AP0050,Apparel,0.18,0.23,48.44,18.6,373.0,19.3,1.5,3.49,8.0
P-HO0007,Home,6.5,12.23,44.89,11.0,494.0,5.0,12.08,4.16,13.0
P-BO0038,Books,1.51,3.9,15.33,18.3,785.0,3.1,4.17,3.91,9.0
P-HO0044,Home,3.6,5.79,40.32,12.9,532.0,6.8,8.04,3.94,19.0
P-BO0065,Books,0.37,0.45,9.49,24.5,819.0,2.5,1.79,4.98,10.0
P-FO0034,Food,1.67,3.06,21.27,21.2,456.0,0.1,5.63,4.36,4.0
P-EL0097,Electronics,0.77,1.23,155.12,8.7,164.0,8.1,2.64,4.41,16.0
P-FO0083,Food,1.47,3.97,19.67,14.7,530.0,3.0,4.59,3.73,3.0
P-FO0041,Food,3.81,5.46,11.59,22.1,662.0,3.9,6.94,4.53,1.0
P-AP0054,Apparel,0.29,0.35,59.49,10.6,707.0,34.0,1.62,3.31,13.0
P-AP0022,Apparel,0.42,0.86,33.34,18.6,487.0,25.2,2.72,3.94,8.0
P-AP0013,Apparel,0.3,0.33,40.87,12.9,513.0,32.3,1.5,3.49,10.0
P-FO0018,Food,2.11,4.34,22.4,20.2,516.0,0.4,6.82,3.67,3.0
P-BO0027,Books,0.46,1.49,20.11,14.6,692.0,1.9,3.18,4.3,5.0
P-AP0071,Apparel,0.38,0.49,20.98,25.5,789.0,31.2,2.56,2.76,10.0
P-AP0008,Apparel,0.41,0.93,75.8,21.2,118.0,21.9,4.3,3.56,13.0
P-EL0078,Electronics,1.59,2.76,289.86,10.4,109.0,5.3,4.87,4.02,20.0
P-EL0094,Electronics,0.56,0.73,163.73,10.2,159.0,2.7,2.38,3.24,19.0
P-EL0061,Electronics,1.03,1.49,161.81,9.0,133.0,6.9,3.64,4.25,13.0
P-FO0043,Food,1.35,2.93,25.16,21.5,333.0,0.7,3.91,3.87,2.0
P-AP0025,Apparel,0.93,1.51,40.39,17.9,628.0,14.5,4.32,4.32,10.0
P-BO0037,Books,0.45,0.87,31.79,16.9,728.0,2.9,3.25,4.09,6.0
P-BO0005,Books,0.46,0.86,18.3,18.7,627.0,1.6,3.28,3.51,10.0
P-FO0081,Food,2.32,2.39,21.06,18.7,797.0,1.1,3.35,4.22,3.0
P-EL0091,Electronics,1.15,1.96,191.33,6.7,177.0,6.6,3.75,3.4,18.0
P-FO0075,Food,4.37,5.95,14.09,23.3,499.0,0.6,7.95,3.1,3.0
P-FO0017,Food,1.31,2.7,12.91,20.0,955.0,1.8,4.66,3.82,3.0
P-HO0073,Home,3.8,11.37,63.05,8.3,480.0,8.6,10.01,4.01,16.0
P-BO0051,Books,0.42,1.16,24.34,15.1,407.0,1.9,3.28,4.38,5.0
P-BO0003,Books,0.85,1.14,14.52,15.8,954.0,3.3,4.05,4.51,5.0
P-FO0005,Food,2.59,4.34,4.2,39.2,731.0,1.7,5.87,4.07,4.0
P-EL0024,Electronics,0.99,2.29,186.63,13.9,116.0,9.6,4.22,3.49,11.0
P-FO0033,Food,1.7,2.73,8.8,29.3,908.0,0.9,5.67,4.54,3.0
P-FO0087,Food,2.18,3.98,10.17,25.8,394.0,0.7,5.08,4.36,2.0
P-FO0095,Food,1.26,2.16,6.33,24.2,419.0,0.3,4.41,4.21,2.0
P-AP0026,Apparel,0.37,0.35,91.4,13.8,304.0,28.8,3.49,2.47,8.0
P-FO0003,Food,3.47,4.94,13.54,21.4,1472.0,2.6,8.54,3.78,4.0
P-HO0078,Home,12.34,35.64,29.55,20.1,427.0,5.1,26.32,4.57,8.0
P-AP0078,Apparel,0.21,0.32,52.1,15.7,433.0,18.8,1.5,3.4,7.0
P-FO0030,Food,2.5,3.6,8.15,21.2,487.0,1.9,6.52,4.89,3.0
P-BO0069,Books,0.71,1.51,17.77,17.4,411.0,1.0,3.45,4.5,8.0
P-HO0023,Home,8.69,21.94,68.07,12.9,252.0,5.0,17.39,3.19,15.0
P-BO0047,Books,0.4,0.6,21.31,21.7,564.0,0.4,2.9,4.53,9.0
P-EL0093,Electronics,1.16,3.23,64.48,14.8,404.0,1.7,2.8,4.24,21.0
P-EL0069,Electronics,1.1,1.96,180.01,10.2,117.0,6.5,2.08,4.73,21.0
P-EL0036,Electronics,1.14,2.25,76.25,9.3,257.0,4.6,3.88,4.36,19.0
P-AP0060,Apparel,0.83,1.42,27.99,22.0,464.0,29.9,3.17,4.58,7.0
P-EL0011,Electronics,1.7,3.29,105.89,11.8,109.0,5.2,5.05,4.31,18.0
P-AP0044,Apparel,0.46,0.65,45.26,19.3,294.0,20.8,3.79,3.01,12.0
P-BO0052,Books,0.24,0.65,16.0,17.8,744.0,0.3,3.22,4.97,9.0
P-AP0027,Apparel,0.48,0.88,43.26,13.1,248.0,29.6,2.82,4.22,9.0
P-HO0081,Home,12.33,18.75,81.72,12.5,297.0,6.8,19.24,4.4,13.0
P-EL0009,Electronics,0.82,0.88,157.48,14.6,116.0,7.2,3.62,4.25,22.0
P-BO0070,Books,0.77,0.8,27.16,21.6,778.0,3.3,3.0,3.34,8.0
P-AP0076,Apparel,0.66,1.76,33.18,14.6,598.0,39.2,3.43,3.76,7.0
P-HO0031,Home,6.67,10.64,57.46,23.0,253.0,1.5,12.65,4.31,11.0
P-HO0010,Home,2.7,3.84,42.21,17.1,577.0,6.9,5.34,3.69,8.0
P-AP0028,Apparel,0.36,0.65,40.82,18.0,427.0,27.4,1.5,3.72,10.0
P-AP0043,Apparel,0.69,1.27,36.21,14.3,393.0,33.8,3.19,3.72,7.0
P-HO0041,Home,6.53,12.1,91.15,9.6,207.0,4.6,12.71,4.19,14.0
P-EL0007,Electronics,1.04,1.69,110.55,15.0,320.0,7.1,4.04,4.21,14.0
P-HO0054,Home,8.05,15.46,81.05,12.5,427.0,2.3,14.57,4.23,14.0
P-FO0086,Food,1.04,1.7,8.1,20.9,562.0,1.3,3.23,3.95,4.0
P-BO0030,Books,0.3,0.4,13.36,22.0,853.0,1.5,2.62,3.35,10.0
P-EL0008,Electronics,1.19,2.76,126.68,11.3,108.0,4.5,3.06,3.91,19.0
P-AP0056,Apparel,0.32,0.61,45.02,18.3,371.0,40.9,2.19,3.46,14.0
P-EL0027,Electronics,1.41,1.78,381.34,4.0,156.0,6.3,5.05,4.32,20.0
P-HO0066,Home,5.92,11.44,102.96,21.4,312.0,7.5,11.22,4.04,13.0
P-EL0064,Electronics,1.65,3.83,217.36,5.2,95.0,8.3,4.97,4.09,17.0
